Rank,Track Name,Artist,loudness,speechiness
439,Keanu Reeves,Logic,-6.457,0.235
440,Good As Hell,Lizzo,-3.187,0.0765
441,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,-6.923,0.184
442,Culpables,KAROL G,-2.942,0.0683
443,YOSEMITE,Travis Scott,-6.571,0.0409
444,God is a woman,Ariana Grande,-5.934,0.0558
445,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,-5.411,0.169
446,Cruel Summer,Taylor Swift,-5.707,0.157
447,My Bad,Khalid,-9.127,0.0823
448,listen before i go,Billie Eilish,-23.023,0.045
449,Underneath the Tree,Kelly Clarkson,-5.438,0.0537
450,Candy,Doja Cat,-5.857,0.0444
451,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,-3.713,0.0711
452,MONOPOLY (with Victoria Monét),Ariana Grande,-8.282,0.378
453,Lonely (with Jonas Brothers),Diplo,-5.121,0.0573
454,No Guidance (feat. Drake),Chris Brown,-6.756,0.151
455,Be Honest (feat. Burna Boy),Jorja Smith,-6.728,0.114
456,Cuando Te Besé,Becky G,-3.713,0.213
457,Rebota - Remix,Guaynaa,-2.279,0.204
458,Mad Love,Mabel,-2.999,0.172
459,Juice,Lizzo,-2.988,0.0963
460,ghostin,Ariana Grande,-8.294,0.0292
461,ROXANNE,Arizona Zervas,-5.616,0.148
462,Swing,Danny Ocean,-6.422,0.249
463,Happier,Ed Sheeran,-7.355,0.0288
464,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,-4.154,0.0473
465,Make It Right (feat. Lauv),BTS,-7.811,0.425
466,Fast,Juice WRLD,-5.937,0.0434
467,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,-10.011,0.31
468,La Boca,Mau y Ricky,-1.8,0.113
469,VALENTINO,24kGoldn,-4.853,0.183
470,Bellacoso,Residente,-2.795,0.255
471,Driving Home for Christmas - 2019 Remaster,Chris Rea,-10.863,0.038
472,Swan Song,Dua Lipa,-6.54,0.216
473,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,-8.914,0.0319
474,Ric Flair Drip (& Metro Boomin),Offset,-8.28,0.206
475,No Idea,Don Toliver,-4.973,0.102
476,My Bad,Khalid,-9.146,0.0906
477,F.N,Lil Tjay,-10.265,0.247
478,Trigger,Major Lazer,-7.041,0.251
479,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,-7.176,0.064
480,The Box,Roddy Ricch,-6.687,0.0559
481,HUMBLE.,Kendrick Lamar,-6.638,0.102
482,Saint-Tropez,Post Malone,-3.618,0.0439
483,SLOW DANCING IN THE DARK,Joji,-7.458,0.0261
484,Futsal Shuffle 2020,Lil Uzi Vert,-8.191,0.156
485,Undecided,Chris Brown,-5.318,0.0966
486,Contra La Pared,Sean Paul,-7.14,0.118
487,Writing on the Wall (feat. Post Malone & Cardi B),French Montana,-2.326,0.153
488,On The Road (feat. Meek Mill & Lil Baby),Post Malone,-5.046,0.109
489,I'm a Mess,Bebe Rexha,-6.257,0.0253
490,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,-3.804,0.067
491,The Christmas Song (Merry Christmas To You),Nat King Cole,-15.231,0.0341
492,FEFE,6ix9ine,-9.127,0.412
493,"Fire On Fire - From '"Watership Down'"",Sam Smith,-7.356,0.046
494,July,Noah Cyrus,-8.953,0.0422
495,Outnumbered,Dermot Kennedy,-5.79,0.157
496,White Christmas,Bing Crosby,-16.485,0.0381
497,monster,21 Savage,-6.916,0.124
498,Cool,Jonas Brothers,-5.533,0.0458
499,Stuck In A Dream (feat. Gunna),Lil Mosey,-5.943,0.0753
500,Freaky,Tory Lanez,-5.764,0.0618
501,If The World Was Ending (feat. Julia Michaels),JP Saxe,-10.086,0.129
502,I Forgot That You Existed,Taylor Swift,-10.345,0.519
503,Imposible,Luis Fonsi,-2.935,0.0798
504,Take Me Back to London (feat. Stormzy),Ed Sheeran,-5.513,0.216
505,Robbery,Juice WRLD,-5.179,0.0442
506,No Sleep (feat. Bonn),Martin Garrix,-6.385,0.0326
507,in my head,Ariana Grande,-6.402,0.0703
508,8,Billie Eilish,-13.239,0.315
509,BAD!,XXXTENTACION,-3.4,0.0671
510,Blanco,J Balvin,-5.395,0.126
511,Red Room,Offset,-8.587,0.157
512,Cuerpo en Venta,Noriel,-5.749,0.302
513,Isis,Joyner Lucas,-6.792,0.255
514,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,-7.089,0.164
515,A Holly Jolly Christmas - Single Version,Burl Ives,-13.056,0.0303
516,Merry Christmas Everyone,Shakin' Stevens,-3.315,0.0369
517,Did It Again,Lil Tecca,-9.929,0.191
518,Enemies (feat. DaBaby),Post Malone,-4.169,0.21
519,Panini - DaBaby Remix,Lil Nas X,-5.613,0.0809
520,Have Yourself A Merry Little Christmas,Sam Smith,-9.402,0.0414
521,Soldi,Mahmood,-9.871,0.0483
522,Time - Edit,NF,-3.885,0.07
523,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,-4.368,0.0575
524,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,-4.101,0.0897
525,It's the Most Wonderful Time of the Year,Andy Williams,-11.656,0.0411
526,Sanctuary,Joji,-7.199,0.128
527,Treat You Better,Shawn Mendes,-4.078,0.341
528,The Bones,Maren Morris,-6.642,0.0347
529,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,-14.014,0.0351
530,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,-4.718,0.0379
531,Easy,Camila Cabello,-5.731,0.0463
532,Bellaquita,Dalex,-3.961,0.106
533,Lights Up,Harry Styles,-8.165,0.032
534,BUTTERFLY EFFECT,Travis Scott,-5.851,0.0503
535,make up,Ariana Grande,-5.373,0.21
536,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,-8.152,0.136
537,All Girls Are The Same,Juice WRLD,-7.226,0.307
538,Ransom (with Juice WRLD) - Remix,Lil Tecca,-6.427,0.366
539,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,-2.665,0.0502
540,Amigos Con Derechos,Reik,-3.324,0.0613
541,It's the Most Wonderful Time of the Year,Andy Williams,-8.435,0.037
542,Arcade,Duncan Laurence,-12.603,0.0441
543,Love Me,Lil Tecca,-6.837,0.271
544,F.N,Lil Tjay,-10.269,0.255
545,Hollywood's Bleeding,Post Malone,-3.206,0.0476
546,Circles,Post Malone,-3.537,0.0402
547,Did It Again,Lil Tecca,-9.929,0.191
548,Falling,Harry Styles,-6.502,0.0299
549,Bellaquita - Remix,Dalex,-3.582,0.0838
550,The Archer,Taylor Swift,-9.375,0.0401
551,Hear Me Calling,Juice WRLD,-3.997,0.106
552,Jackie Chan,Tiësto,-2.867,0.045
553,Shameless,Camila Cabello,-5.437,0.0588
554,Not Ok,Kygo,-8.14,0.0372
555,Just Us (feat. SZA),DJ Khaled,-2.758,0.147
556,I Don't Belong In This Club,Why Don't We,-5.744,0.0439
557,Who Do You Love,The Chainsmokers,-4.673,0.0447
558,Baby,Amenazzy,-4.835,0.0532
559,Used To Love (with Dean Lewis),Martin Garrix,-4.722,0.0375
560,200 km/h,Apache 207,-6.413,0.177
561,Best Part of Me (feat. YEBBA),Ed Sheeran,-8.367,0.0318
562,So Close,NOTD,-5.896,0.0666
563,Tilidin,Capital Bra,-4.892,0.384
564,Ransom,Lil Tecca,-6.257,0.287
565,Liar,Camila Cabello,-6.684,0.0456
566,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,-12.25,0.0599
567,Fairytale of New York (feat. Kirsty MacColl),The Pogues,-6.335,0.0342
568,First Off (feat. Travis Scott),Future,-6.105,0.0776
569,Love Lies (with Normani),Khalid,-5.626,0.0449
664,Everything We Need,Kanye West,-6.823,0.0538
570,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,-3.592,0.0312
571,110,Capital Bra,-5.057,0.432
572,Make No Sense,YoungBoy Never Broke Again,-4.478,0.333
573,Lights Up,Harry Styles,-8.165,0.032
574,Die For Me (feat. Future & Halsey),Post Malone,-2.848,0.0441
575,Santa Claus Is Coming to Town,Michael Bublé,-7.109,0.0517
576,Thunderclouds,Sia,-5.985,0.0351
577,Small Talk,Katy Perry,-5.547,0.1
578,Woman Like Me (feat. Nicki Minaj),Little Mix,-3.449,0.0608
579,Butterfly Doors,Lil Pump,-11.265,0.169
580,Heartless (feat. Morgan Wallen),Diplo,-6.414,0.0604
581,Every Breath You Take,The Police,-9.796,0.0348
582,Legends,Juice WRLD,-5.244,0.0844
583,Wolves,Selena Gomez,-4.614,0.0448
584,Harleys In Hawaii,Katy Perry,-6.207,0.132
585,Homicide,Logic,-5.656,0.398
586,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,-4.178,0.112
587,Hot Shower,Chance the Rapper,-7.578,0.374
588,Don't Stop Believin',Journey,-9.072,0.0363
589,Cherry Lady,Capital Bra,-7.145,0.0755
590,"Hey Look Ma, I Made It",Panic! At The Disco,-3.337,0.0695
591,Trampoline,SHAED,-7.523,0.0301
592,Moonlight,Gaullin,-5.687,0.085
593,Nice For What,Drake,-6.474,0.0705
594,Blue Christmas,Elvis Presley,-16.661,0.0425
595,On The Road (feat. Meek Mill & Lil Baby),Post Malone,-5.046,0.109
596,Orphans,Coldplay,-5.051,0.045
597,Piece Of Your Heart,MEDUZA,-6.806,0.0295
598,Think About You,Kygo,-7.891,0.0354
599,A Thousand Bad Times,Post Malone,-3.498,0.092
600,CANGURO,WOS,-4.358,0.327
601,Paradise,Bazzi,-6.273,0.0479
602,Pa' Olvidarme De Ella,Piso 21,-5.195,0.0514
603,Paper Rings,Taylor Swift,-6.553,0.0497
604,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,-9.32,0.442
605,Crushed Up,Future,-6.794,0.23
606,Turn Me On (feat. Vula),Riton,-4.711,0.0396
607,Find U Again (feat. Camila Cabello),Mark Ronson,-7.162,0.0316
608,"fuck, i''m lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,-6.46,0.0683
609,A Thousand Bad Times,Post Malone,-3.498,0.092
610,Lucky You (feat. Joyner Lucas),Eminem,-4.884,0.306
611,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,-4.178,0.112
612,Christmas (Baby Please Come Home),Mariah Carey,-7.444,0.0311
613,Fine China,Future,-7.358,0.323
614,Big Plans,Why Don't We,-5.279,0.0427
615,Tough Love,Avicii,-4.837,0.0432
616,Wieder Lila,Samra,-4.026,0.3
617,SOLO,JENNIE,-5.165,0.087
618,Wow. - Remix,Post Malone,-6.272,0.194
619,Light It Up (with Tyga & Chris Brown),Marshmello,-3.593,0.071
620,On God,Kanye West,-4.413,0.155
621,Takeaway (feat. Lennon Stella),The Chainsmokers,-8.106,0.042
622,I THINK,"Tyler, The Creator",-8.241,0.0801
623,Closed On Sunday,Kanye West,-7.353,0.0318
624,Love Me,Lil Tecca,-6.897,0.28
625,Rebota,Guaynaa,-1.998,0.285
626,Won't Be Late (feat. Drake),Swae Lee,-6.302,0.0677
627,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,-5.152,0.395
628,Undrunk,FLETCHER,-6.703,0.0781
629,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,-5.445,0.0346
630,Amor Genuino,Ozuna,-4.071,0.0381
631,Ne reviens pas,Gradur,-3.384,0.0638
632,223's (feat. 9lokknine),YNW Melly,-7.787,0.333
633,Surtada - Remix Brega Funk,Dadá Boladão,-7.026,0.0587
634,Loyal (feat. Drake),PARTYNEXTDOOR,-6.347,0.0495
635,Young Dumb & Broke,Khalid,-6.351,0.0421
636,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,-6.218,0.219
637,What Am I,Why Don't We,-4.681,0.0524
638,Baby,Quality Control,-7.259,0.366
639,Love Me,Lil Tecca,-10.325,0.251
640,Wow.,Post Malone,-7.359,0.208
641,Selah,Kanye West,-5.673,0.197
642,Feel Special,TWICE,-1.339,0.0603
643,Silence,Marshmello,-3.093,0.0853
644,Mr. Brightside,The Killers,-3.74,0.0808
645,Atrasadinha - Ao Vivo,Felipe Araújo,-3.396,0.109
646,PPP,Kevin Roldan,-6.839,0.109
647,Better When You're Gone,David Guetta,-3.548,0.0372
648,Family,The Chainsmokers,-6.605,0.0356
649,Allergic,Post Malone,-3.694,0.0787
650,I.F.L.Y.,Bazzi,-4.823,0.0385
651,The Less I Know The Better,Tame Impala,-4.083,0.0284
652,That's a Rack,Lil Uzi Vert,-8.04,0.501
653,Ransom (with Juice WRLD) - Remix,Lil Tecca,-6.424,0.289
654,Envy Me,Calboy,-7.664,0.27
655,Focus (feat. 21 Savage),Bazzi,-5.268,0.0969
656,Quizás,Rich Music LTD,-2.454,0.153
657,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,-4.727,0.0718
658,Miss Americana & The Heartbreak Prince,Taylor Swift,-6.926,0.0736
659,Step Into Christmas,Elton John,-5.584,0.0363
660,Everybody Dies In Their Nightmares,XXXTENTACION,-7.066,0.133
661,VALENTINO,24kGoldn,-4.841,0.179
662,I'm Gonna Be,Post Malone,-4.008,0.0316
663,I Think He Knows,Taylor Swift,-8.029,0.0569
665,Staring At The Sun (feat. SZA),Post Malone,-4.389,0.184
666,Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,-6.606,0.0614
667,Power is Power,SZA,-7.485,0.0641
668,Mine,Bazzi,-3.874,0.0722
669,Legacy (feat. Travis Scott & 21 Savage),Offset,-8.769,0.335
670,The Archer,Taylor Swift,-9.375,0.0401
671,Cornelia Street,Taylor Swift,-9.728,0.0827
672,110,Capital Bra,-5.057,0.432
673,Santa Claus Is Coming To Town,The Jackson 5,-10.803,0.0371
674,Christmas Lights,Coldplay,-9.146,0.0296
675,Like It's Christmas,Jonas Brothers,-6.007,0.102
676,London Boy,Taylor Swift,-6.639,0.05
677,Mikrokosmos,BTS,-5.212,0.114
678,Babushka Boi,A$AP Rocky,-5.446,0.222
679,Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS,-3.837,0.0519
680,Wieso tust Du dir das an?,Apache 207,-6.962,0.055
681,Don't Worry Bout Me,Zara Larsson,-6.274,0.0636
682,Make It Right,BTS,-7.874,0.444
683,Au DD,PNL,-7.706,0.0704
684,Use This Gospel,Kanye West,-3.926,0.0422
685,Falling Like The Stars,James Arthur,-9.538,0.0351
686,Adore You,Harry Styles,-3.675,0.0483
687,Combatchy (feat. MC Rebecca),Anitta,-3.032,0.0809
688,SOS,Avicii,-6.181,0.0715
689,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,-4.101,0.0897
690,Lover,Taylor Swift,-7.582,0.0919
691,Somebody To Love - 2011 Mix,Queen,-7.024,0.0565
692,Immortal,21 Savage,-3.494,0.503
693,Bones (feat. OneRepublic),Galantis,-5.735,0.0377
694,All The Stars (with SZA),Kendrick Lamar,-4.946,0.0597
695,Sin Pijama,Becky G,-3.695,0.0464
696,Let Me Know (I Wonder Why Freestyle),Juice WRLD,-7.895,0.0832
697,Hold Me While You Wait,Lewis Capaldi,-5.507,0.0333
698,Roses - Imanbek Remix,SAINt JHN,-5.484,0.0495
699,Press,Cardi B,-5.665,0.305
700,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,-3.864,0.0738
701,Empty,Juice WRLD,-4.869,0.0807
702,Liberdade Provisória,Henrique & Juliano,-5.937,0.0527
703,Run Rudolph Run - Single Version,Chuck Berry,-10.609,0.0912
704,Date La Vuelta,Luis Fonsi,-2.903,0.0566
705,Punto G,KAROL G,-4.716,0.0907
706,What Lovers Do,Maroon 5,-5.131,0.0611
707,Calling My Spirit,Kodak Black,-9.954,0.0941
708,These Days,Rudimental,-4.057,0.0474
709,Sigues Con El,Dimelo Flow,-2.957,0.113
710,Death By A Thousand Cuts,Taylor Swift,-6.754,0.0629
711,HOME,BTS,-4.625,0.0429
712,Suicidal,YNW Melly,-9.682,0.0688
713,Olabilir,MERO,-6.677,0.0345
714,Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,-9.827,0.0394
715,Ela É do Tipo,MC Kevin o Chris,-6.615,0.373
716,MEGATRON,Nicki Minaj,-3.051,0.272
717,Prinzessa,Capital Bra,-6.766,0.125
718,goodbye,Billie Eilish,-21.877,0.0503
719,Tap (feat. Meek Mill),NAV,-7.033,0.251
720,Santa Baby,Ariana Grande,-5.749,0.136
721,Popopop,Gambi,-6.194,0.31
722,Myself,Post Malone,-4.234,0.0349
723,Wolke 10,MERO,-4.985,0.0693
724,Old Town Road - Remix,Lil Nas X,-5.777,0.226
725,Doin' Time,Lana Del Rey,-11.196,0.0519
726,Dionysus,BTS,-2.769,0.107
727,Forever Alone,Paulo Londra,-8.392,0.0561
728,Alone,Marshmello,-3.74,0.0353
729,Kill This Love,BLACKPINK,-4.141,0.237
730,Splashin,Rich The Kid,-8.099,0.564
731,Allergic,Post Malone,-3.694,0.0787
732,Graduation (with Juice WRLD),benny blanco,-5.286,0.271
733,Cristina,Sebastian Yatra,-4.342,0.0557
734,Go Loko,YG,-5.188,0.0429
735,Death,Trippie Redd,-5.969,0.146
736,Soldi,Mahmood,-9.832,0.0466
737,RUNNING OUT OF TIME,"Tyler, The Creator",-10.6,0.0528
738,Hobby Hobby,MERO,-6.464,0.298
739,Somebody,Internet Money,-6.659,0.256
740,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,-5.047,0.0496
741,Ibiza,Ozuna,-5.144,0.335
742,I Know,Post Malone,-5.671,0.0763
743,No Te Debí Besar,C. Tangana,-5.682,0.316
744,Internet,Post Malone,-6.071,0.0314
745,Con Calma - Remix,Daddy Yankee,-3.01,0.0454
746,2002,Sido,-7.907,0.236
747,blun7 a swishland,tha Supreme,-5.984,0.245
748,Cry for Me,Camila Cabello,-4.134,0.0927
749,Everyday,Logic,-4.099,0.0378
750,"Santa Claus Is Comin'' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,-8.444,0.0482
751,INTRO,DaBaby,-7.699,0.242
752,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,Lil Nas X,-5.996,0.154
753,Out Of Love,Alessia Cara,-9.25,0.0336
754,Au DD,PNL,-7.706,0.0704
755,Golden,Harry Styles,-5.257,0.0557
756,No New Friends,Sia,-4.622,0.0429
757,Drugs & The Internet,Lauv,-6.596,0.133
758,God Is,Kanye West,-4.394,0.0254
759,I'll Be Home,Meghan Trainor,-7.779,0.0267
760,Takeaway,The Chainsmokers,-8.144,0.0324
761,Jenifer,Gabriel Diniz,-2.533,0.0453
762,Wir ticken,Capital Bra,-4.951,0.427
763,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled,-5.18,0.343
764,Thank God It's Christmas - Non-Album Single,Queen,-8.891,0.0285
765,Christmas Tree Farm,Taylor Swift,-4.505,0.0331
766,Don't Pretend (feat. SAFE),Khalid,-8.833,0.0815
767,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,-5.56,0.102
768,Supera - Ao Vivo,Marília Mendonça,-4.434,0.0567
769,6 Kiss,Trippie Redd,-10.061,0.154
770,Santa's Coming For Us,Sia,-4.486,0.0999
771,Ransom (with Juice WRLD) - Remix,Lil Tecca,-6.436,0.276
772,Every Hour,Kanye West,-6.23,0.0794
773,Afterglow,Taylor Swift,-8.746,0.0344
774,Water,Kanye West,-12.404,0.1
775,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,-7.033,0.0333
776,I'm Gonna Be,Post Malone,-4.008,0.0316
777,Project Dreams,Marshmello,-2.129,0.177
778,Make Believe,Juice WRLD,-4.35,0.0722
779,Jamais Vu,BTS,-6.73,0.0428
780,FANCY,TWICE,-2.15,0.045
781,Crushed Up,Future,-6.817,0.209
782,Staring At The Sun (feat. SZA),Post Malone,-4.389,0.184
783,One More Sleep,Leona Lewis,-3.845,0.0362
784,Cherry,Harry Styles,-9.261,0.0259
785,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,-2.721,0.0525
786,NEW MAGIC WAND,"Tyler, The Creator",-5.414,0.107
787,Santa Baby,Kylie Minogue,-7.12,0.0449
788,Nautilus,Shindy,-6.164,0.331
789,Yes Indeed,Lil Baby,-9.309,0.53
790,Living Proof,Camila Cabello,-5.464,0.082
791,Sauce!,XXXTENTACION,-13.672,0.0347
792,Pure Cocaine,Lil Baby,-6.071,0.421
793,Alocao (With Bad Gyal),Omar Montes,-4.705,0.0567
794,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,-5.35,0.0401
795,Lalala,Y2K,-7.899,0.0845
796,Floating (feat. 21 Savage),ScHoolboy Q,-4.977,0.344
797,On My Way,Alan Walker,-4.929,0.102
798,Fingías,Paloma Mami,-3.83,0.184
799,Haute (feat. J Balvin & Chris Brown),Tyga,-3.692,0.114
800,Don't Know What To Do,BLACKPINK,-4.164,0.049
801,i'm so tired...,Lauv,-7.058,0.203
802,Hasta Que Salga el Sol,Ozuna,-4.22,0.0516
803,Orphans,Coldplay,-5.051,0.045
804,Girls Need Love (with Drake) - Remix,Summer Walker,-9.481,0.217
805,KARMA,Nimo,-6.121,0.0742
806,"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,-4.833,0.28
807,Juicy (feat. Tyga),Doja Cat,-2.607,0.0669
808,Hands On,Kanye West,-8.72,0.529
809,Gold Roses (feat. Drake),Rick Ross,-5.318,0.407
810,Ela,Reynmen,-6.768,0.0521
811,Be Honest,Jorja Smith,-5.891,0.106
812,Did It Again,Lil Tecca,-9.922,0.159
813,7 Minutes,Dean Lewis,-6.478,0.0311
814,Maze,Juice WRLD,-3.813,0.141
815,Mala Mía,Maluma,-4.883,0.345
816,Rolex,Capital Bra,-6.542,0.345
817,Numb Numb Juice,ScHoolboy Q,-7.756,0.458
818,BROWN SKIN GIRL,Blue Ivy,-7.083,0.23
819,Insomnia,Daya,-5.095,0.0611
820,Who Needs Love,Trippie Redd,-7.664,0.0714
821,MOOD 4 EVA (feat. Oumou Sangaré),Beyoncé,-6.175,0.374
822,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,-5.415,0.284
823,Wake Me Up,Avicii,-5.697,0.0523
824,IGOR'S THEME,"Tyler, The Creator",-7.371,0.377
825,MOJAITA,J Balvin,-3.602,0.102
826,Put It All on Me (feat. Ella Mai),Ed Sheeran,-8.306,0.0478
827,Fantasía,Ozuna,-5.938,0.0903
828,Robbery,Juice WRLD,-5.17,0.054
829,Shots,Lil Tecca,-5.721,0.0415
830,No Es Justo,J Balvin,-4.494,0.0714
831,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,-5.888,0.0602
832,Psycho,Red Velvet,-2.203,0.0446
833,Puntos Suspensivos,Piso 21,-3.399,0.103
834,False God,Taylor Swift,-10.862,0.239
835,I Saw Mommy Kissing Santa Claus,The Jackson 5,-11.694,0.0548
836,CHopstix (with Travis Scott),ScHoolboy Q,-6.996,0.118
837,She,Harry Styles,-5.942,0.0272
838,Winter Wonderland,Tony Bennett,-14.15,0.0415
839,OUT WEST (feat. Young Thug),JACKBOYS,-4.895,0.225
840,Never Go Back,Dennis Lloyd,-4.85,0.398
841,A BOY IS A GUN*,"Tyler, The Creator",-8.302,0.178
842,Que Le De,Rauw Alejandro,-2.715,0.0785
843,Feels (feat. Young Thug & J Hus),Ed Sheeran,-4.899,0.29
844,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,-4.744,0.0325
845,I Warned Myself,Charlie Puth,-11.467,0.297
846,Best Part of Me (feat. YEBBA),Ed Sheeran,-8.367,0.0318
847,Soon You’ll Get Better (feat. Dixie Chicks),Taylor Swift,-12.566,0.0641
848,These Days,Rudimental,-4.084,0.0451
849,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,-6.441,0.369
850,All For Us - from the HBO Original Series Euphoria,Labrinth,-7.145,0.0931
851,Diamonds (feat. Capital Bra),Summer Cem,-8.685,0.272
852,Call You Mine (feat. Bebe Rexha),The Chainsmokers,-5.59,0.0289
853,Agora é Tudo Meu,Dennis DJ,-3.306,0.106
854,WHAT'S GOOD,"Tyler, The Creator",-6.553,0.487
855,Ta To Gucci (Remix),Cauty,-6.405,0.378
856,Yellow Hearts,Ant Saunders,-10.938,0.0745
857,Terremoto,Anitta,-5.836,0.0898
858,Price On My Head (feat. The Weeknd),NAV,-6.104,0.136
859,Lean Wit Me,Juice WRLD,-5.515,0.156
860,Norman fucking Rockwell,Lana Del Rey,-12.49,0.0368
861,Panini,Lil Nas X,-6.146,0.0752
862,Affalterbach,Shindy,-4.663,0.327
863,My Type,Saweetie,-6.294,0.258
864,GANG GANG,JACKBOYS,-4.63,0.301
865,Eiskalt,Loredana,-6.001,0.14
866,Contando Lunares (feat. Cruz Cafuné),Don Patricio,-10.481,0.131
867,To Be So Lonely,Harry Styles,-7.269,0.0418
868,Wanted,OneRepublic,-6.586,0.0677
869,Wolke 10,MERO,-4.985,0.0693
870,quando a bad bater - ao vivo,Luan Santana,-4.767,0.0414
871,C7osure (You Like),Lil Nas X,-5.515,0.247
872,Happy Now,Zedd,-5.128,0.047
873,Can We Kiss Forever?,Kina,-18.717,0.0357
